"Story","Title","Result","Date","Stability","Duration (s)"
"Manejo del carrito en SauceDemo","Agregar un producto al carrito","PENDING","2024-10-10T23:01:52.8362875-05:00[America/Bogota]","0.0","0.01"
"Manejo del carrito en SauceDemo","Eliminar un producto del carrito","PENDING","2024-10-10T23:01:52.8533272-05:00[America/Bogota]","0.0","0.01"
"Manejo del carrito en SauceDemo","Verificar el precio total correcto","PENDING","2024-10-10T23:01:52.8693745-05:00[America/Bogota]","0.0","0.01"
"Manejo del carrito en SauceDemo","Cerrar sesion","PENDING","2024-10-10T23:01:52.8848768-05:00[America/Bogota]","0.0","0.01"
"Manejo del carrito en SauceDemo","El usuario selecciona un producto","PENDING","2024-10-10T23:13:01.4586733-05:00[America/Bogota]","0.0","0.14"
"Manejo del carrito en SauceDemo","El usuario selecciona un producto","SUCCESS","2024-10-11T00:15:08.2918276-05:00[America/Bogota]","0.0","35.21"
"Manejo del carrito en SauceDemo","Agregar un producto al carrito","SUCCESS","2024-10-11T00:27:26.3183423-05:00[America/Bogota]","0.0","35.88"
"Manejo del carrito en SauceDemo","Eliminar un producto del carrito","SUCCESS","2024-10-11T00:40:37.6658758-05:00[America/Bogota]","0.0","41.62"
"Manejo del carrito en SauceDemo","Verificar la compra de un producto","SUCCESS","2024-10-11T01:07:19.5199398-05:00[America/Bogota]","0.0","43.57"
"Manejo del carrito en SauceDemo","Cerrar sesion","SUCCESS","2024-10-11T01:44:32.0832869-05:00[America/Bogota]","0.0","36.37"
